state,year,date_code,period,avg_temp_F,source_file,original_file_period_note
Alabama,1992,199204,May-April,63.4,combined_state_average_temperature_sample.csv,from precombined sample file
Alabama,1993,199304,May-April,61.6,combined_state_average_temperature_sample.csv,from precombined sample file
Alabama,1994,199404,May-April,62.8,combined_state_average_temperature_sample.csv,from precombined sample file
Alabama,1995,199504,May-April,63.3,combined_state_average_temperature_sample.csv,from precombined sample file
Alabama,1996,199604,May-April,62.0,combined_state_average_temperature_sample.csv,from precombined sample file
Alabama,1997,199704,May-April,63.4,combined_state_average_temperature_sample.csv,from precombined sample file
Alabama,1998,199804,May-April,62.0,combined_state_average_temperature_sample.csv,from precombined sample file
Alabama,1999,199904,May-April,65.9,combined_state_average_temperature_sample.csv,from precombined sample file
Alabama,2000,200004,May-April,63.9,combined_state_average_temperature_sample.csv,from precombined sample file
Alabama,2001,200104,May-April,62.9,combined_state_average_temperature_sample.csv,from precombined sample file
Alabama,2002,200204,May-April,63.4,combined_state_average_temperature_sample.csv,from precombined sample file
Alabama,2003,200304,May-April,63.1,combined_state_average_temperature_sample.csv,from precombined sample file
Alabama,2004,200404,May-April,62.8,combined_state_average_temperature_sample.csv,from precombined sample file
Alabama,2005,200504,May-April,63.8,combined_state_average_temperature_sample.csv,from precombined sample file
Alabama,2006,200604,May-April,63.9,combined_state_average_temperature_sample.csv,from precombined sample file
Alabama,2007,200704,May-April,63.4,combined_state_average_temperature_sample.csv,from precombined sample file
Alabama,2008,200804,May-April,64.3,combined_state_average_temperature_sample.csv,from precombined sample file
Alabama,2009,200904,May-April,63.1,combined_state_average_temperature_sample.csv,from precombined sample file
Alabama,2010,201004,May-April,61.6,combined_state_average_temperature_sample.csv,from precombined sample file
Alabama,2011,201104,May-April,64.2,combined_state_average_temperature_sample.csv,from precombined sample file
Alabama,2012,201204,May-April,65.3,combined_state_average_temperature_sample.csv,from precombined sample file
Alabama,2013,201304,May-April,63.1,combined_state_average_temperature_sample.csv,from precombined sample file
Alabama,2014,201404,May-April,61.7,combined_state_average_temperature_sample.csv,from precombined sample file
Alabama,2015,201504,May-April,62.8,combined_state_average_temperature_sample.csv,from precombined sample file
Alabama,2016,201604,May-April,65.2,combined_state_average_temperature_sample.csv,from precombined sample file
Alabama,2017,201704,May-April,66.8,combined_state_average_temperature_sample.csv,from precombined sample file
Alabama,2018,201804,May-April,63.3,combined_state_average_temperature_sample.csv,from precombined sample file
Alabama,2019,201904,May-April,65.1,combined_state_average_temperature_sample.csv,from precombined sample file
Alabama,2020,202004,May-April,65.8,combined_state_average_temperature_sample.csv,from precombined sample file
Alabama,2021,202104,May-April,63.9,combined_state_average_temperature_sample.csv,from precombined sample file
Alabama,2022,202204,May-April,64.2,combined_state_average_temperature_sample.csv,from precombined sample file
Alabama,2023,202304,May-April,65.3,combined_state_average_temperature_sample.csv,from precombined sample file
Alaska,1992,199204,May-April,26.5,combined_state_average_temperature_sample.csv,from precombined sample file
Alaska,1993,199304,May-April,26.6,combined_state_average_temperature_sample.csv,from precombined sample file
Alaska,1994,199404,May-April,28.7,combined_state_average_temperature_sample.csv,from precombined sample file
Alaska,1995,199504,May-April,26.5,combined_state_average_temperature_sample.csv,from precombined sample file
Alaska,1996,199604,May-April,27.2,combined_state_average_temperature_sample.csv,from precombined sample file
Alaska,1997,199704,May-April,25.7,combined_state_average_temperature_sample.csv,from precombined sample file
Alaska,1998,199804,May-April,29.1,combined_state_average_temperature_sample.csv,from precombined sample file
Alaska,1999,199904,May-April,25.4,combined_state_average_temperature_sample.csv,from precombined sample file
Alaska,2000,200004,May-April,26.8,combined_state_average_temperature_sample.csv,from precombined sample file
Alaska,2001,200104,May-April,29.1,combined_state_average_temperature_sample.csv,from precombined sample file
Alaska,2002,200204,May-April,26.3,combined_state_average_temperature_sample.csv,from precombined sample file
Alaska,2003,200304,May-April,31.0,combined_state_average_temperature_sample.csv,from precombined sample file
Alaska,2004,200404,May-April,27.7,combined_state_average_temperature_sample.csv,from precombined sample file
Alaska,2005,200504,May-April,30.1,combined_state_average_temperature_sample.csv,from precombined sample file
Alaska,2006,200604,May-April,27.4,combined_state_average_temperature_sample.csv,from precombined sample file
Alaska,2007,200704,May-April,26.8,combined_state_average_temperature_sample.csv,from precombined sample file
Alaska,2008,200804,May-April,27.8,combined_state_average_temperature_sample.csv,from precombined sample file
Alaska,2009,200904,May-April,24.9,combined_state_average_temperature_sample.csv,from precombined sample file
Alaska,2010,201004,May-April,27.8,combined_state_average_temperature_sample.csv,from precombined sample file
Alaska,2011,201104,May-April,27.4,combined_state_average_temperature_sample.csv,from precombined sample file
Alaska,2012,201204,May-April,25.5,combined_state_average_temperature_sample.csv,from precombined sample file
Alaska,2013,201304,May-April,25.4,combined_state_average_temperature_sample.csv,from precombined sample file
Alaska,2014,201404,May-April,29.7,combined_state_average_temperature_sample.csv,from precombined sample file
Alaska,2015,201504,May-April,30.1,combined_state_average_temperature_sample.csv,from precombined sample file
Alaska,2016,201604,May-April,31.9,combined_state_average_temperature_sample.csv,from precombined sample file
Alaska,2017,201704,May-April,28.5,combined_state_average_temperature_sample.csv,from precombined sample file
Alaska,2018,201804,May-April,30.9,combined_state_average_temperature_sample.csv,from precombined sample file
Alaska,2019,201904,May-April,31.6,combined_state_average_temperature_sample.csv,from precombined sample file
Alaska,2020,202004,May-April,28.6,combined_state_average_temperature_sample.csv,from precombined sample file
Alaska,2021,202104,May-April,28.3,combined_state_average_temperature_sample.csv,from precombined sample file
Alaska,2022,202204,May-April,27.1,combined_state_average_temperature_sample.csv,from precombined sample file
Alaska,2023,202304,May-April,28.2,combined_state_average_temperature_sample.csv,from precombined sample file
Arizona,1992,199204,May-April,59.8,combined_state_average_temperature_sample.csv,from precombined sample file
Arizona,1993,199304,May-April,59.6,combined_state_average_temperature_sample.csv,from precombined sample file
Arizona,1994,199404,May-April,59.7,combined_state_average_temperature_sample.csv,from precombined sample file
Arizona,1995,199504,May-April,60.7,combined_state_average_temperature_sample.csv,from precombined sample file
Arizona,1996,199604,May-April,61.6,combined_state_average_temperature_sample.csv,from precombined sample file
Arizona,1997,199704,May-April,61.2,combined_state_average_temperature_sample.csv,from precombined sample file
Arizona,1998,199804,May-April,59.7,combined_state_average_temperature_sample.csv,from precombined sample file
Arizona,1999,199904,May-April,60.3,combined_state_average_temperature_sample.csv,from precombined sample file
Arizona,2000,200004,May-April,61.4,combined_state_average_temperature_sample.csv,from precombined sample file
Arizona,2001,200104,May-April,60.6,combined_state_average_temperature_sample.csv,from precombined sample file
Arizona,2002,200204,May-April,61.7,combined_state_average_temperature_sample.csv,from precombined sample file
Arizona,2003,200304,May-April,61.2,combined_state_average_temperature_sample.csv,from precombined sample file
Arizona,2004,200404,May-April,61.9,combined_state_average_temperature_sample.csv,from precombined sample file
Arizona,2005,200504,May-April,60.2,combined_state_average_temperature_sample.csv,from precombined sample file
Arizona,2006,200604,May-April,61.2,combined_state_average_temperature_sample.csv,from precombined sample file
Arizona,2007,200704,May-April,61.2,combined_state_average_temperature_sample.csv,from precombined sample file
Arizona,2008,200804,May-April,61.2,combined_state_average_temperature_sample.csv,from precombined sample file
Arizona,2009,200904,May-April,61.2,combined_state_average_temperature_sample.csv,from precombined sample file
Arizona,2010,201004,May-April,60.3,combined_state_average_temperature_sample.csv,from precombined sample file
Arizona,2011,201104,May-April,60.7,combined_state_average_temperature_sample.csv,from precombined sample file
Arizona,2012,201204,May-April,61.0,combined_state_average_temperature_sample.csv,from precombined sample file
Arizona,2013,201304,May-April,61.4,combined_state_average_temperature_sample.csv,from precombined sample file
Arizona,2014,201404,May-April,61.7,combined_state_average_temperature_sample.csv,from precombined sample file
Arizona,2015,201504,May-April,62.4,combined_state_average_temperature_sample.csv,from precombined sample file
Arizona,2016,201604,May-April,61.3,combined_state_average_temperature_sample.csv,from precombined sample file
Arizona,2017,201704,May-April,62.4,combined_state_average_temperature_sample.csv,from precombined sample file
Arizona,2018,201804,May-April,63.1,combined_state_average_temperature_sample.csv,from precombined sample file
Arizona,2019,201904,May-April,61.1,combined_state_average_temperature_sample.csv,from precombined sample file
Arizona,2020,202004,May-April,60.6,combined_state_average_temperature_sample.csv,from precombined sample file
Arizona,2021,202104,May-April,62.6,combined_state_average_temperature_sample.csv,from precombined sample file
Arizona,2022,202204,May-April,62.1,combined_state_average_temperature_sample.csv,from precombined sample file
Arizona,2023,202304,May-April,60.2,combined_state_average_temperature_sample.csv,from precombined sample file
Arkansas,1992,199204,May-April,61.5,combined_state_average_temperature_sample.csv,from precombined sample file
Arkansas,1993,199304,May-April,58.5,combined_state_average_temperature_sample.csv,from precombined sample file
Arkansas,1994,199404,May-April,60.0,combined_state_average_temperature_sample.csv,from precombined sample file
Arkansas,1995,199504,May-April,60.8,combined_state_average_temperature_sample.csv,from precombined sample file
Arkansas,1996,199604,May-April,59.5,combined_state_average_temperature_sample.csv,from precombined sample file
Arkansas,1997,199704,May-April,60.3,combined_state_average_temperature_sample.csv,from precombined sample file
Arkansas,1998,199804,May-April,60.1,combined_state_average_temperature_sample.csv,from precombined sample file
Arkansas,1999,199904,May-April,63.5,combined_state_average_temperature_sample.csv,from precombined sample file
Arkansas,2000,200004,May-April,62.2,combined_state_average_temperature_sample.csv,from precombined sample file
Arkansas,2001,200104,May-April,60.1,combined_state_average_temperature_sample.csv,from precombined sample file
Arkansas,2002,200204,May-April,61.3,combined_state_average_temperature_sample.csv,from precombined sample file
Arkansas,2003,200304,May-April,60.0,combined_state_average_temperature_sample.csv,from precombined sample file
Arkansas,2004,200404,May-April,61.0,combined_state_average_temperature_sample.csv,from precombined sample file
Arkansas,2005,200504,May-April,61.5,combined_state_average_temperature_sample.csv,from precombined sample file
Arkansas,2006,200604,May-April,62.4,combined_state_average_temperature_sample.csv,from precombined sample file
Arkansas,2007,200704,May-April,61.1,combined_state_average_temperature_sample.csv,from precombined sample file
Arkansas,2008,200804,May-April,61.4,combined_state_average_temperature_sample.csv,from precombined sample file
Arkansas,2009,200904,May-April,60.3,combined_state_average_temperature_sample.csv,from precombined sample file
Arkansas,2010,201004,May-April,59.0,combined_state_average_temperature_sample.csv,from precombined sample file
Arkansas,2011,201104,May-April,62.1,combined_state_average_temperature_sample.csv,from precombined sample file
Arkansas,2012,201204,May-April,63.6,combined_state_average_temperature_sample.csv,from precombined sample file
Arkansas,2013,201304,May-April,61.3,combined_state_average_temperature_sample.csv,from precombined sample file
Arkansas,2014,201404,May-April,58.8,combined_state_average_temperature_sample.csv,from precombined sample file
Arkansas,2015,201504,May-April,59.2,combined_state_average_temperature_sample.csv,from precombined sample file
Arkansas,2016,201604,May-April,62.9,combined_state_average_temperature_sample.csv,from precombined sample file
Arkansas,2017,201704,May-April,63.9,combined_state_average_temperature_sample.csv,from precombined sample file
Arkansas,2018,201804,May-April,60.3,combined_state_average_temperature_sample.csv,from precombined sample file
Arkansas,2019,201904,May-April,61.7,combined_state_average_temperature_sample.csv,from precombined sample file
Arkansas,2020,202004,May-April,61.8,combined_state_average_temperature_sample.csv,from precombined sample file
Arkansas,2021,202104,May-April,60.0,combined_state_average_temperature_sample.csv,from precombined sample file
Arkansas,2022,202204,May-April,61.6,combined_state_average_temperature_sample.csv,from precombined sample file
Arkansas,2023,202304,May-April,62.5,combined_state_average_temperature_sample.csv,from precombined sample file
California,1992,199205,June-May,59.7,data (6).csv,from NOAA state CSV
California,1993,199305,June-May,58.2,data (6).csv,from NOAA state CSV
California,1994,199405,June-May,58,data (6).csv,from NOAA state CSV
California,1995,199505,June-May,57.7,data (6).csv,from NOAA state CSV
California,1996,199605,June-May,59.7,data (6).csv,from NOAA state CSV
California,1997,199705,June-May,59.8,data (6).csv,from NOAA state CSV
California,1998,199805,June-May,57.1,data (6).csv,from NOAA state CSV
California,1999,199905,June-May,57.1,data (6).csv,from NOAA state CSV
California,2000,200005,June-May,59.3,data (6).csv,from NOAA state CSV
California,2001,200105,June-May,58.3,data (6).csv,from NOAA state CSV
California,2002,200205,June-May,59,data (6).csv,from NOAA state CSV
California,2003,200305,June-May,59.1,data (6).csv,from NOAA state CSV
California,2004,200405,June-May,59.9,data (6).csv,from NOAA state CSV
California,2005,200505,June-May,58.2,data (6).csv,from NOAA state CSV
California,2006,200605,June-May,58.3,data (6).csv,from NOAA state CSV
California,2007,200705,June-May,59.4,data (6).csv,from NOAA state CSV
California,2008,200805,June-May,58.1,data (6).csv,from NOAA state CSV
California,2009,200905,June-May,59.7,data (6).csv,from NOAA state CSV
California,2010,201005,June-May,57.7,data (6).csv,from NOAA state CSV
California,2011,201105,June-May,57.7,data (6).csv,from NOAA state CSV
California,2012,201205,June-May,58.5,data (6).csv,from NOAA state CSV
California,2013,201305,June-May,59.7,data (6).csv,from NOAA state CSV
California,2014,201405,June-May,60.4,data (6).csv,from NOAA state CSV
California,2015,201505,June-May,61.5,data (6).csv,from NOAA state CSV
California,2016,201605,June-May,60.2,data (6).csv,from NOAA state CSV
California,2017,201705,June-May,59.6,data (6).csv,from NOAA state CSV
California,2018,201805,June-May,60.6,data (6).csv,from NOAA state CSV
California,2019,201905,June-May,59.1,data (6).csv,from NOAA state CSV
California,2020,202005,June-May,59.4,data (6).csv,from NOAA state CSV
California,2021,202105,June-May,60.5,data (6).csv,from NOAA state CSV
California,2022,202205,June-May,60.4,data (6).csv,from NOAA state CSV
California,2023,202305,June-May,58.6,data (6).csv,from NOAA state CSV
Colorado,1992,199205,June-May,46.1,data (7).csv,from NOAA state CSV
Colorado,1993,199305,June-May,43.8,data (7).csv,from NOAA state CSV
Colorado,1994,199405,June-May,44.7,data (7).csv,from NOAA state CSV
Colorado,1995,199505,June-May,46.1,data (7).csv,from NOAA state CSV
Colorado,1996,199605,June-May,46,data (7).csv,from NOAA state CSV
Colorado,1997,199705,June-May,45.2,data (7).csv,from NOAA state CSV
Colorado,1998,199805,June-May,45.3,data (7).csv,from NOAA state CSV
Colorado,1999,199905,June-May,46.8,data (7).csv,from NOAA state CSV
Colorado,2000,200005,June-May,47.4,data (7).csv,from NOAA state CSV
Colorado,2001,200105,June-May,45.9,data (7).csv,from NOAA state CSV
Colorado,2002,200205,June-May,46.6,data (7).csv,from NOAA state CSV
Colorado,2003,200305,June-May,46.8,data (7).csv,from NOAA state CSV
Colorado,2004,200405,June-May,47,data (7).csv,from NOAA state CSV
Colorado,2005,200505,June-May,45.8,data (7).csv,from NOAA state CSV
Colorado,2006,200605,June-May,47,data (7).csv,from NOAA state CSV
Colorado,2007,200705,June-May,45.6,data (7).csv,from NOAA state CSV
Colorado,2008,200805,June-May,45.3,data (7).csv,from NOAA state CSV
Colorado,2009,200905,June-May,46.6,data (7).csv,from NOAA state CSV
Colorado,2010,201005,June-May,44,data (7).csv,from NOAA state CSV
Colorado,2011,201105,June-May,46,data (7).csv,from NOAA state CSV
Colorado,2012,201205,June-May,47.4,data (7).csv,from NOAA state CSV
Colorado,2013,201305,June-May,46.1,data (7).csv,from NOAA state CSV
Colorado,2014,201405,June-May,45.9,data (7).csv,from NOAA state CSV
Colorado,2015,201505,June-May,46.9,data (7).csv,from NOAA state CSV
Colorado,2016,201605,June-May,46.9,data (7).csv,from NOAA state CSV
Colorado,2017,201705,June-May,48,data (7).csv,from NOAA state CSV
Colorado,2018,201805,June-May,47.8,data (7).csv,from NOAA state CSV
Colorado,2019,201905,June-May,45.6,data (7).csv,from NOAA state CSV
Colorado,2020,202005,June-May,46.4,data (7).csv,from NOAA state CSV
Colorado,2021,202105,June-May,46.6,data (7).csv,from NOAA state CSV
Colorado,2022,202205,June-May,47.6,data (7).csv,from NOAA state CSV
Colorado,2023,202305,June-May,45.4,data (7).csv,from NOAA state CSV
Connecticut,1992,199205,June-May,49.3,data (8).csv,from NOAA state CSV
Connecticut,1993,199305,June-May,47.6,data (8).csv,from NOAA state CSV
Connecticut,1994,199405,June-May,47.8,data (8).csv,from NOAA state CSV
Connecticut,1995,199505,June-May,50.3,data (8).csv,from NOAA state CSV
Connecticut,1996,199605,June-May,48.2,data (8).csv,from NOAA state CSV
Connecticut,1997,199705,June-May,49,data (8).csv,from NOAA state CSV
Connecticut,1998,199805,June-May,50.4,data (8).csv,from NOAA state CSV
Connecticut,1999,199905,June-May,50.4,data (8).csv,from NOAA state CSV
Connecticut,2000,200005,June-May,50.8,data (8).csv,from NOAA state CSV
Connecticut,2001,200105,June-May,48.1,data (8).csv,from NOAA state CSV
Connecticut,2002,200205,June-May,51.5,data (8).csv,from NOAA state CSV
Connecticut,2003,200305,June-May,47.9,data (8).csv,from NOAA state CSV
Connecticut,2004,200405,June-May,49.2,data (8).csv,from NOAA state CSV
