state,year,white_footed_mouse_occurrence_records,species,note
Alabama,1995,14,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Alabama,2004,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Alabama,2005,81,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Alabama,2006,23,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Alabama,2009,8,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Alabama,2014,33,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Alabama,2015,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Alabama,2016,96,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Alabama,2017,94,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Alabama,2018,144,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Alabama,2019,49,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Alabama,2020,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Alabama,2021,88,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Alabama,2022,13,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Alabama,2023,105,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Arizona,1992,5,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Arizona,1994,3,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Arizona,1995,16,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Arizona,1996,12,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Arizona,1997,17,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Arizona,1998,11,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Arizona,1999,44,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Arizona,2000,6,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Arizona,2001,4,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Arizona,2003,5,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Arizona,2016,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Arizona,2017,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Arizona,2019,3,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Arizona,2021,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Arizona,2022,25,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Arizona,2023,13,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Arkansas,1992,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Arkansas,1994,14,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Arkansas,1995,10,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Arkansas,1996,2,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Arkansas,1998,3,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Arkansas,1999,58,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Arkansas,2000,5,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Arkansas,2020,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Arkansas,2021,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Arkansas,2023,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
California,1992,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Colorado,1992,9,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Colorado,1993,5,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Colorado,1994,7,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Colorado,1996,5,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Colorado,1997,13,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Colorado,1998,24,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Colorado,2006,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Colorado,2007,3,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Connecticut,1993,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Connecticut,2002,4,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Connecticut,2003,2,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Connecticut,2004,5,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Connecticut,2005,2,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Connecticut,2006,3,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Connecticut,2007,11,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Connecticut,2008,14,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Connecticut,2009,4,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Connecticut,2014,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Connecticut,2015,15,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Connecticut,2016,12,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Connecticut,2017,3,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Connecticut,2018,3,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Connecticut,2019,2,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Connecticut,2020,16,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Connecticut,2021,9,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Connecticut,2022,38,Peromyscus leucopus,"GBIF occurrence records, not population counts"
